Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
,,,,,,,,,,,,,,,,,,,,,,45,Processing 1044-1044,done,2015-09-06 01:55:23.705+08,2015-09-07 17:25:03.404324+08,2015-09-07 17:40:45.984+08,0
,,,,,,,,,,,,,,,,,,,,,,46,Processing 1045-1045,done,2015-09-06 01:55:23.705+08,2015-09-07 17:25:11.579945+08,2015-09-07 17:35:06.16+08,0
,,,,,,,,,,,,,,,,,,,,,,47,Processing 1046-1046,done,2015-09-06 01:55:23.705+08,2015-09-07 17:25:30.864187+08,2015-09-07 17:35:23.385+08,0
,,,,,,,,,,,,,,,,,,,,,,48,Processing 1047-1047,done,2015-09-06 01:55:23.705+08,2015-09-07 17:25:51.296083+08,2015-09-07 17:37:22.858+08,0
,,,,,,,,,,,,,,,,,,,,,,49,Processing 1048-1048,done,2015-09-06 01:55:23.705+08,2015-09-07 17:27:19.139867+08,2015-09-07 17:37:55.634+08,0
,,,,,,,,,,,,,,,,,,,,,,50,Processing 1049-1049,done,2015-09-07 17:27:46.191+08,2015-09-07 17:33:56.285447+08,2015-09-07 18:03:26.18+08,0
,,,,,,,,,,,,,,,,,,,,,,51,Processing 1050-1050,done,2015-09-07 17:27:46.191+08,2015-09-07 17:35:12.175994+08,2015-09-07 17:45:35.748+08,0
,,,,,,,,,,,,,,,,,,,,,,52,Processing 1051-1051,done,2015-09-07 17:27:46.191+08,2015-09-07 17:35:37.402166+08,2015-09-07 17:45:33.792+08,0
,,,,,,,,,,,,,,,,,,,,,,53,Processing 1052-1052,done,2015-09-07 17:27:46.191+08,2015-09-07 17:37:22.869351+08,2015-09-07 17:50:44.45+08,0
,,,,,,,,,,,,,,,,,,,,,,54,Processing 1053-1053,done,2015-09-07 17:27:46.191+08,2015-09-07 17:37:32.799521+08,2015-09-07 17:46:24.336+08,0
,,,,,,,,,,,,,,,,,,,,,,55,Processing 1054-1054,done,2015-09-08 02:34:59.018+08,2015-09-08 07:50:48.285136+08,2015-09-08 08:10:31.262+08,1
,,,,,,,,,,,,,,,,,,,,,,56,Processing 1055-1055,done,2015-09-07 17:27:46.191+08,2015-09-07 17:37:55.642891+08,2015-09-07 17:47:14.107+08,0
,,,,,,,,,,,,,,,,,,,,,,57,Processing 1056-1056,done,2015-09-07 17:27:46.191+08,2015-09-07 17:38:43.018347+08,2015-09-07 18:00:41.707+08,0
,,,,,,,,,,,,,,,,,,,,,,58,Processing 1057-1057,done,2015-09-07 17:27:46.191+08,2015-09-07 17:40:46.047483+08,2015-09-07 17:56:53.634+08,0
,,,,,,,,,,,,,,,,,,,,,,59,Processing 1058-1058,done,2015-09-07 17:27:46.191+08,2015-09-07 17:44:00.172952+08,2015-09-07 18:04:43.826+08,0
,,,,,,,,,,,,,,,,,,,,,,60,Processing 1059-1059,done,2015-09-07 17:27:46.191+08,2015-09-07 17:45:33.806629+08,2015-09-07 17:53:47.164+08,0
,,,,,,,,,,,,,,,,,,,,,,61,Processing 1060-1060,done,2015-09-07 17:27:46.191+08,2015-09-07 17:45:35.798462+08,2015-09-07 17:56:41.35+08,0
,,,,,,,,,,,,,,,,,,,,,,62,Processing 1061-1061,done,2015-09-07 17:27:46.191+08,2015-09-07 17:46:24.4023+08,2015-09-07 17:54:49.894+08,0
,,,,,,,,,,,,,,,,,,,,,,63,Processing 1062-1062,done,2015-09-07 17:27:46.191+08,2015-09-07 17:47:14.116417+08,2015-09-07 17:56:46.506+08,0
,,,,,,,,,,,,,,,,,,,,,,64,Processing 1063-1063,done,2015-09-07 17:27:46.191+08,2015-09-07 17:48:17.479611+08,2015-09-07 18:00:20.988+08,0
,,,,,,,,,,,,,,,,,,,,,,65,Processing 1064-1064,done,2015-09-07 17:27:46.191+08,2015-09-07 17:50:44.461304+08,2015-09-07 18:00:22.954+08,0
