Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
,,,,,,,,,,,,,,,,,,,,,,54,Processing 1053-1053,done,2015-10-10 16:23:12.021+08,2015-10-10 16:31:01.769519+08,2015-10-10 16:52:29.719+08,0
,,,,,,,,,,,,,,,,,,,,,,55,Processing 1054-1054,done,2015-10-10 16:23:12.021+08,2015-10-10 16:31:06.638361+08,2015-10-10 16:49:20.501+08,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3818,ashish,seq34,scn61,sh012,lighting,v005,seq34_scn61_sh012_lig_lighting_v005,1001,1076,2015-10-10 09:03:36+08,2015-10-17 22:17:53.587+08,2015-10-17 22:06:23.352+08,,77,63,13,0,0,1,0.0
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1001-1076,blocked,,,2015-10-10 09:03:36+08,0
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1001-1001,done,2015-10-11 13:20:48.554+08,2015-10-11 13:35:02.448242+08,2015-10-11 14:41:22.453+08,1
,,,,,,,,,,,,,,,,,,,,,,3,Processing 1002-1002,done,2015-10-10 09:03:36.11+08,2015-10-10 16:31:13.81303+08,2015-10-10 17:24:20.506+08,0
,,,,,,,,,,,,,,,,,,,,,,4,Processing 1003-1003,done,2015-10-10 16:31:36.262776+08,2015-10-10 16:31:36.264055+08,2015-10-10 17:24:56.813+08,1
,,,,,,,,,,,,,,,,,,,,,,5,Processing 1004-1004,done,2015-10-10 16:31:36.255+08,2015-10-10 16:31:42.529293+08,2015-10-10 17:24:25.585+08,0
,,,,,,,,,,,,,,,,,,,,,,6,Processing 1005-1005,done,2015-10-10 16:31:36.255+08,2015-10-10 16:31:50.28403+08,2015-10-10 17:25:38.133+08,0
,,,,,,,,,,,,,,,,,,,,,,7,Processing 1006-1006,done,2015-10-10 16:32:42.295367+08,2015-10-10 16:32:42.296202+08,2015-10-10 17:23:25.099+08,1
,,,,,,,,,,,,,,,,,,,,,,8,Processing 1007-1007,done,2015-10-10 16:31:36.255+08,2015-10-10 16:31:55.311382+08,2015-10-10 17:25:39.272+08,0
,,,,,,,,,,,,,,,,,,,,,,9,Processing 1008-1008,done,2015-10-10 16:31:36.255+08,2015-10-10 16:31:59.857546+08,2015-10-10 17:26:29.267+08,0
,,,,,,,,,,,,,,,,,,,,,,10,Processing 1009-1009,done,2015-10-10 16:31:36.255+08,2015-10-10 16:32:17.202564+08,2015-10-10 17:26:19.063+08,0
,,,,,,,,,,,,,,,,,,,,,,11,Processing 1010-1010,done,2015-10-10 16:31:36.255+08,2015-10-10 16:32:21.295744+08,2015-10-10 17:29:36.22+08,0
,,,,,,,,,,,,,,,,,,,,,,12,Processing 1011-1011,done,2015-10-10 16:31:36.255+08,2015-10-10 16:32:22.303989+08,2015-10-10 17:26:54.457+08,0
,,,,,,,,,,,,,,,,,,,,,,13,Processing 1012-1012,done,2015-10-10 16:31:36.255+08,2015-10-10 16:32:23.46487+08,2015-10-10 17:26:00.172+08,0
,,,,,,,,,,,,,,,,,,,,,,14,Processing 1013-1013,done,2015-10-10 17:25:01.500666+08,2015-10-10 17:25:01.533592+08,2015-10-10 18:17:14.917+08,1
,,,,,,,,,,,,,,,,,,,,,,15,Processing 1014-1014,done,2015-10-10 16:31:36.255+08,2015-10-10 16:32:38.847032+08,2015-10-10 17:27:23.105+08,0
,,,,,,,,,,,,,,,,,,,,,,16,Processing 1015-1015,done,2015-10-10 16:31:36.255+08,2015-10-10 16:32:40.461935+08,2015-10-10 17:28:15.412+08,0
,,,,,,,,,,,,,,,,,,,,,,17,Processing 1016-1016,done,2015-10-10 16:32:42.289+08,2015-10-10 16:32:49.041959+08,2015-10-10 17:26:39.219+08,0
